model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,empty
esm-t33-pretrained,0,0.5863,0.5837,0.4571,0.8,0.8437,0.7011,-0.8,131,2024-09-27 02:05:43,0.0003,0.01,4.0,32.0,empty,
esm-t33-pretrained,0,0.6261,0.5916,0.4857,0.85,0.8699,0.7099,0.2,132,2024-09-27 02:05:52,0.0003,0.01,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6233,0.5966,0.5143,0.8,0.8879,0.7099,-0.8,133,2024-09-27 02:06:00,0.0003,0.01,6.0,30.0,empty,
esm-t33-pretrained,0,0.5463,0.5827,0.4714,0.6875,0.8395,0.6975,-2.6,134,2024-09-27 02:06:09,0.0003,0.01,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5875,0.5929,0.4143,0.8788,0.8202,0.7256,1.6,135,2024-09-27 02:06:18,0.0003,0.01,6.0,31.0,empty,
esm-t33-pretrained,0,0.5283,0.5175,0.3571,0.8333,0.8199,0.7052,0.6,136,2024-09-27 02:06:26,0.0003,0.01,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5038,0.5828,0.5429,0.5278,0.8406,0.7016,-3.6,137,2024-09-27 02:06:34,0.0003,0.01,6.0,32.0,empty,
esm-t33-pretrained,0,0.5514,0.5662,0.4857,0.68,0.8721,0.7503,-2.4,138,2024-09-27 02:06:47,0.0003,0.01,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.3404,0.5052,0.4857,0.3148,0.8624,0.7016,-3.0,139,2024-09-27 02:06:59,0.0003,0.01,10.0,30.0,empty,
esm-t33-pretrained,0,0.5385,0.5626,0.4,0.7778,0.8824,0.7055,-0.8,140,2024-09-27 02:07:12,0.0003,0.01,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6094,0.5952,0.4286,0.9091,0.8923,0.7256,0.2,141,2024-09-27 02:07:24,0.0003,0.01,10.0,31.0,empty,
esm-t33-pretrained,0,0.5281,0.5028,0.4571,0.6667,0.8335,0.7388,-4.4,142,2024-09-27 02:07:36,0.0003,0.01,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4538,0.5878,0.6,0.4078,0.9006,0.7172,-3.2,143,2024-09-27 02:07:47,0.0003,0.01,10.0,32.0,empty,
